difficulty,ID,year,type,day,name,type,option,JP-ja
11,APIO19_street_lamps,2019,APIO,3,Street Lamps,Batch,,https://apio2019.ru/upload/statements/Japanese.pdf
10,APIO20_paint,2020,APIO,1,Painting Walls,Batch,,https://apio2020.toki.id/assets/statements/paint_ja.pdf
10,APIO20_swap,2020,APIO,2,Swapping Cities,Batch,,https://apio2020.toki.id/assets/statements/swap_ja.pdf
11,APIO20_fun,2020,APIO,3,Fun Tour,Interactive,,https://apio2020.toki.id/assets/statements/fun_ja.pdf
12,APIO21_hexagon,2021,APIO,1,Hexagonal Territory,Batch,,https://github.com/ia-toki/apio-2021-statements/blob/master/hexagon/ja_JP.pdf
10,APIO21_jumps,2021,APIO,2,Rainforest Jumps,Interactive,,https://github.com/ia-toki/apio-2021-statements/blob/master/jumps/ja_JP.pdf
11,APIO21_roads,2021,APIO,3,Road Closures,Batch,,https://github.com/ia-toki/apio-2021-statements/blob/master/roads/ja_JP.pdf
9,IOI07_aliens,2007,IOI,Day1-1,Aliens,Interactive,,https://www.ioi-jp.org/ioi/2007/problem/day1/aliens-prob-j.pdf
9,IOI07_flood,2007,IOI,Day1-2,Flood,Batch,,https://www.ioi-jp.org/ioi/2007/problem/day1/flood-prob-j.pdf
11,IOI07_sails,2007,IOI,Day1-3,Sails,Batch,,https://www.ioi-jp.org/ioi/2007/problem/day1/sails-prob-j.pdf
7,IOI07_miners,2007,IOI,Day2-1,Miners,Batch,,https://www.ioi-jp.org/ioi/2007/problem/day2/miners-prob-j.pdf
11,IOI07_pairs,2007,IOI,Day2-2,Pairs,Batch,,https://www.ioi-jp.org/ioi/2007/problem/day2/pairs-prob-j.pdf
,IOI07_training,2007,IOI,Day2-3,Training,Batch,,https://www.ioi-jp.org/ioi/2007/problem/day2/training-prob-j.pdf
7,IOI08_printer,2008,IOI,Day1-1,Type Printer,Batch,,https://www.ioi-jp.org/ioi/2008/problems/Day1_jpn/type_printer_j.pdf
11,IOI08_islands,2008,IOI,Day1-2,Islands,Batch,,https://www.ioi-jp.org/ioi/2008/problems/Day1_jpn/islands_j.pdf
,IOI08_fish,2008,IOI,Day1-3,Fish,Batch,,https://www.ioi-jp.org/ioi/2008/problems/Day1_jpn/fish_j.pdf
8,IOI08_linear_garden,2008,IOI,Day2-1,Linear Garden,Batch,,https://www.ioi-jp.org/ioi/2008/problems/Day2_jpn/lg_j.pdf
8,IOI08_teleporters,2008,IOI,Day2-2,Teleporters,Batch,,https://www.ioi-jp.org/ioi/2008/problems/Day2_jpn/teleporters_j.pdf
,IOI08_pyramid_base,2008,IOI,Day2-3,Pyramid Base,Batch,,https://www.ioi-jp.org/ioi/2008/problems/Day2_jpn/Pyramid_Base_j.pdf
,IOI09_archery,2009,IOI,Day1-1,Archery,Batch,,https://www.ioi-jp.org/ioi/2009/problems/day1/Archery_jp.pdf
8,IOI09_hiring,2009,IOI,Day1-2,Hiring,Batch,,https://www.ioi-jp.org/ioi/2009/problems/day1/Hiring_jp.pdf
5,IOI09_poi,2009,IOI,Day1-3,Poi,Batch,,https://www.ioi-jp.org/ioi/2009/problems/day1/POI_jp.pdf
7,IOI09_raisins,2009,IOI,Day1-4,Raisins,Batch,,https://www.ioi-jp.org/ioi/2009/problems/day1/Raisins_jp.pdf
5,IOI09_garage,2009,IOI,Day2-1,Garage,Batch,,https://www.ioi-jp.org/ioi/2009/problems/day2/Garage_jp.pdf
7,IOI09_mecho,2009,IOI,Day2-2,Mecho,Batch,,https://www.ioi-jp.org/ioi/2009/problems/day2/Mecho_jp.pdf
,IOI09_regions,2009,IOI,Day2-3,Regions,Interactive,,https://www.ioi-jp.org/ioi/2009/problems/day2/Regions_jp.pdf
9,IOI09_salesman,2009,IOI,Day2-4,Salesman,Batch,,https://www.ioi-jp.org/ioi/2009/problems/day2/Salesman_jp.pdf
4,IOI10_cluedo,2010,IOI,Day1-1,Cluedo,Interactive,,https://www.ioi-jp.org/ioi/2010/tasks/tasks_jpn/day1/t1_cluedo/index.html
13,IOI10_hottercolder,2010,IOI,Day1-2,Hotter Colder,Interactive,,https://www.ioi-jp.org/ioi/2010/tasks/tasks_jpn/day1/t2_hottercolder/index.html
9,IOI10_quality,2010,IOI,Day1-3,Quality Of Living,Batch,,https://www.ioi-jp.org/ioi/2010/tasks/tasks_jpn/day1/t3_quality/index.html
12,IOI10_languages,2010,IOI,Day1-4,Languages,Interactive,,https://www.ioi-jp.org/ioi/2010/tasks/tasks_jpn/day1/t4_language/index.html
4,IOI10_memory,2010,IOI,Day2-1,Memory,Interactive,,https://www.ioi-jp.org/ioi/2010/tasks/tasks_jpn/day2/t1_memory/index.html
8,IOI10_traffic,2010,IOI,Day2-2,Traffic,Batch,,https://www.ioi-jp.org/ioi/2010/tasks/tasks_jpn/day2/t2_traffic/index.html
,IOI10_maze,2010,IOI,Day2-3,Maze,Output Only,,https://www.ioi-jp.org/ioi/2010/tasks/tasks_jpn/day2/t3_maze/index.html
12,IOI10_saveit,2010,IOI,Day2-4,Saveit,Interactive,,https://www.ioi-jp.org/ioi/2010/tasks/tasks_jpn/day2/t4_saveit/index.html
9,IOI11_garden,2011,IOI,Day1-1,Tropical Garden,Batch,,https://www.ioi-jp.org/ioi/2011/tasks/day1/garden_jpn.pdf
10,IOI11_race,2011,IOI,Day1-2,Race,Batch,,https://www.ioi-jp.org/ioi/2011/tasks/day1/race_jpn.pdf
8,IOI11_ricehub,2011,IOI,Day1-3,Rice Hub,Batch,,https://www.ioi-jp.org/ioi/2011/tasks/day1/ricehub_jpn.pdf
9,IOI11_crocodile,2011,IOI,Day2-1,Crocodile's Underground City,Batch,,https://www.ioi-jp.org/ioi/2011/tasks/day2/crocodile_jpn.pdf
11,IOI11_elephants,2011,IOI,Day2-2,Dancing Elephants,Batch,,https://www.ioi-jp.org/ioi/2011/tasks/day2/elephants_jpn.pdf
10,IOI11_parrots,2011,IOI,Day2-3,Parrots,Interactive,,https://www.ioi-jp.org/ioi/2011/tasks/day2/parrots_jpn.pdf
11,IOI12_odometer,2012,IOI,Day1-1,Odometer,Batch,,https://www.ioi-jp.org/ioi/2012/tasks/odometer-jp.pdf
11,IOI12_rings,2012,IOI,Day1-2,Parachute rings,Batch,,https://www.ioi-jp.org/ioi/2012/tasks/rings-jp.pdf
9,IOI12_scrivener,2012,IOI,Day1-3,Crayfish scrivener,Batch,,https://www.ioi-jp.org/ioi/2012/tasks/scrivener-jp.pdf
11,IOI12_city,2012,IOI,Day2-1,Ideal city,Batch,,https://www.ioi-jp.org/ioi/2012/tasks/city-jp.pdf
11,IOI12_supper,2012,IOI,Day2-2,Last supper,Interactive,,https://www.ioi-jp.org/ioi/2012/tasks/supper-jp.pdf
9,IOI12_tournament,2012,IOI,Day2-3,Jousting tournament,Batch,,https://www.ioi-jp.org/ioi/2012/tasks/tournament-jp.pdf
10,IOI13_dreaming,2013,IOI,Day1-1,Dreaming,Batch,,http://www.ioi2013.org/wp-content/uploads/tasks/day1/dreaming/Dreaming%20ja%20(JPN).pdf
10,IOI13_artclass,2013,IOI,Day1-2,Art Class,Batch,,http://www.ioi2013.org/wp-content/uploads/tasks/day1/artclass/Art%20class%20ja%20(JPN).pdf
12,IOI13_wombats,2013,IOI,Day1-3,Wombats,Batch,,http://www.ioi2013.org/wp-content/uploads/tasks/day1/wombats/Wombats%20ja%20(JPN).pdf
8,IOI13_cave,2013,IOI,Day2-1,Cave,Interactive,,http://www.ioi2013.org/wp-content/uploads/tasks/day2/cave/cave%20-%20JPN%20(ja).pdf
9,IOI13_robots,2013,IOI,Day2-2,Robots,Batch,,http://www.ioi2013.org/wp-content/uploads/tasks/day2/robots/robots%20-%20JPN%20(ja).pdf
10,IOI13_game,2013,IOI,Day2-3,Game,Interactive,,http://www.ioi2013.org/wp-content/uploads/tasks/day2/game/game%20-%20JPN%20(ja).pdf
11,IOI14_rail,2014,IOI,Day1-1,Rail,Interactive,,https://www.ioi-jp.org/ioi/2014/tasks/rail-jp.pdf
10,IOI14_wall,2014,IOI,Day1-2,Wall,Batch,,https://www.ioi-jp.org/ioi/2014/tasks/wall-jp.pdf
10,IOI14_game,2014,IOI,Day1-3,Game,Batch,,https://www.ioi-jp.org/ioi/2014/tasks/game-jp.pdf
8,IOI14_gondola,2014,IOI,Day2-1,Gondola,Batch,,https://www.ioi-jp.org/ioi/2014/tasks/gondola-jp.pdf
11,IOI14_friend,2014,IOI,Day2-2,Friend,Batch,,https://www.ioi-jp.org/ioi/2014/tasks/friend-jp.pdf
11,IOI14_holiday,2014,IOI,Day2-3,Holiday,Batch,,https://www.ioi-jp.org/ioi/2014/tasks/holiday-jp.pdf
9,IOI15_boxes,2015,IOI,Day1-1,Boxes with souvenirs,Batch,,https://www.ioi-jp.org/ioi/2015/tasks/boxes-jp.pdf
12,IOI15_scales,2015,IOI,Day1-2,Scales,Interactive,,https://www.ioi-jp.org/ioi/2015/tasks/scales-jp.pdf
11,IOI15_teams,2015,IOI,Day1-3,Teams,Batch,,https://www.ioi-jp.org/ioi/2015/tasks/teams-jp.pdf
10,IOI15_horses,2015,IOI,Day2-1,Horses,Batch,,https://www.ioi-jp.org/ioi/2015/tasks/horses-jp.pdf
10,IOI15_sorting,2015,IOI,Day2-2,Sorting,Batch,,https://www.ioi-jp.org/ioi/2015/tasks/sorting-jp.pdf
,IOI15_towns,2015,IOI,Day2-3,Towns,Interactive,,https://www.ioi-jp.org/ioi/2015/tasks/towns-jp.pdf
6,IOI16_tetris,2016,IOI,Day0-1,Mini tetris,Batch,,
2,IOI16_reverse,2016,IOI,Day0-2,Reversing a Sequence,Batch,,
3,IOI16_laugh,2016,IOI,Day0-3,Laugh Analysis,Batch,,
10,IOI16_dna,2016,IOI,Day0-4,Martian DNA,Interactive,,
8,IOI16_molecules,2016,IOI,Day1-1,Detecting Molecules,Batch,,https://www.ioi-jp.org/ioi/2016/tasks/day1-molecules-JPN.pdf
11,IOI16_railroad,2016,IOI,Day1-2,Roller Coaster Railroad,Batch,,https://www.ioi-jp.org/ioi/2016/tasks/day1-railroad-JPN.pdf
12,IOI16_shortcut,2016,IOI,Day1-3,Shortcut,Batch,,https://www.ioi-jp.org/ioi/2016/tasks/day1-shortcut-JPN.pdf
9,IOI16_paint,2016,IOI,Day2-1,Paint By Numbers,Batch,,https://www.ioi-jp.org/ioi/2016/tasks/day2-paint-JPN.pdf
10,IOI16_messy,2016,IOI,Day2-2,Unscrambling a Messy Bug,Interactive,,https://www.ioi-jp.org/ioi/2016/tasks/day2-messy-JPN.pdf
12,IOI16_aliens,2016,IOI,Day2-3,Aliens,Batch,,https://www.ioi-jp.org/ioi/2016/tasks/day2-aliens-JPN.pdf
10,IOI17_mountains,2017,IOI,Day0-1,Mountains,Batch,,https://www.ioi-jp.org/ioi/2017/tasks/day0-mountains-JPN.pdf
9,IOI17_cup,2017,IOI,Day0-2,Cup of Jamshid,Interactive,,https://www.ioi-jp.org/ioi/2017/tasks/day0-cup-JPN.pdf
9,IOI17_coins,2017,IOI,Day0-3,Coins,Interactive,,https://www.ioi-jp.org/ioi/2017/tasks/day0-coins-JPN.pdf
,IOI17_sudoku,2017,IOI,Day0-4,Sudoku,Batch,,https://www.ioi-jp.org/ioi/2017/tasks/day0-sudoku-JPN.pdf
,IOI17_nowruz,2017,IOI,Day1-1,Nowruz,Output Only,,http://ioi2017.org/tasks/day1/nowruz/nowruz-JPN.pdf
11,IOI17_wiring,2017,IOI,Day1-2,Wiring,Batch,,http://ioi2017.org/tasks/day1/wiring/wiring-JPN.pdf
12,IOI17_train,2017,IOI,Day1-3,Toy Train,Batch,,http://ioi2017.org/tasks/day1/train/train-JPN.pdf
10,IOI17_prize,2017,IOI,Day2-1,The Big Prize,Interactive,,http://ioi2017.org/tasks/day2/prize/prize-JPN.pdf
12,IOI17_simurgh,2017,IOI,Day2-2,Simurgh,Interactive,,http://ioi2017.org/tasks/day2/simurgh/simurgh-JPN.pdf
12,IOI17_books,2017,IOI,Day2-3,Ancient Books,Batch,,http://ioi2017.org/tasks/day2/books/books-JPN.pdf
8,IOI18_combo,2018,IOI,Day1-1,Combo,Interactive,,https://ioi2018.jp/wp-content/tasks/contest1/JPN-combo.pdf
12,IOI18_seats,2018,IOI,Day1-2,Seats,Batch,,https://ioi2018.jp/wp-content/tasks/contest1/JPN-seats.pdf
11,IOI18_werewolf,2018,IOI,Day1-3,Werewolf,Batch,,https://ioi2018.jp/wp-content/tasks/contest1/JPN-werewolf.pdf
11,IOI18_doll,2018,IOI,Day2-1,Mechanical Doll,Batch,,https://ioi2018.jp/wp-content/tasks/contest2/JPN-doll.pdf
12,IOI18_highway,2018,IOI,Day2-2,Highway Tolls,Interactive,,https://ioi2018.jp/wp-content/tasks/contest2/JPN-highway.pdf
13,IOI18_meetings,2018,IOI,Day2-3,Meetings,Batch,,https://ioi2018.jp/wp-content/tasks/contest2/JPN-meetings.pdf
11,IOI19_job,2019,IOI,Day0-1,Job Scheduling,Batch,,
7,IOI19_cycle,2019,IOI,Day0-2,Lost in the cycle,Interactive,,
10,IOI19_transfer,2019,IOI,Day0-3,Data Transfer,Interactive,,
,IOI19_packing,2019,IOI,Day0-4,Packing,Output Only,,
10,IOI19_shoes,2019,IOI,Day1-1,Arranging Shoes,Batch,,https://www.ioi-jp.org/ioi/2019/tasks/day1-shoes-JPN.pdf
12,IOI19_split,2019,IOI,Day1-2,Split the Attractions,Batch,,https://www.ioi-jp.org/ioi/2019/tasks/day1-split-JPN.pdf
11,IOI19_rect,2019,IOI,Day1-3,Rectangles,Batch,,https://www.ioi-jp.org/ioi/2019/tasks/day1-rect-JPN.pdf
,IOI19_line,2019,IOI,Day2-1,Broken Line,Output Only,,https://www.ioi-jp.org/ioi/2019/tasks/day2-line-JPN.pdf
10,IOI19_vision,2019,IOI,Day2-2,Vision Program,Interactive,,https://www.ioi-jp.org/ioi/2019/tasks/day2-vision-JPN.pdf
12,IOI19_walk,2019,IOI,Day2-3,Sky Walking,Batch,,https://www.ioi-jp.org/ioi/2019/tasks/day2-walk-JPN.pdf
7,IOI20_gift,2020,IOI,Day0-1,Handcrafted Gift,Batch,,https://www.ioi-jp.org/ioi/2020/tasks/day0-gift-JPN.pdf
,IOI20_squares,2020,IOI,Day0-2,Painting Squares,Batch,,https://www.ioi-jp.org/ioi/2020/tasks/day0-squares-JPN.pdf
9,IOI20_routers,2020,IOI,Day0-3,Finding Routers,Batch,,https://www.ioi-jp.org/ioi/2020/tasks/day0-routers-JPN.pdf
8,IOI20_jelly,2020,IOI,Day0-4,Jelly Flavours,Batch,,https://www.ioi-jp.org/ioi/2020/tasks/day0-jelly-JPN.pdf
12,IOI20_plants,2020,IOI,Day1-1,Comparing Plants,Batch,,https://www.ioi-jp.org/ioi/2020/tasks/day1-plants-JPN.pdf
8,IOI20_supertrees,2020,IOI,Day1-2,Connecting Supertrees,Batch,,https://www.ioi-jp.org/ioi/2020/tasks/day1-supertrees-JPN.pdf
12,IOI20_tickets,2020,IOI,Day1-3,Carnival Tickets,Batch,,https://www.ioi-jp.org/ioi/2020/tasks/day1-tickets-JPN.pdf
11,IOI20_biscuits,2020,IOI,Day2-1,Packing Biscuits,Batch,,https://www.ioi-jp.org/ioi/2020/tasks/day2-biscuits-JPN.pdf
12,IOI20_mushrooms,2020,IOI,Day2-2,Counting Mushrooms,Interactive,,https://www.ioi-jp.org/ioi/2020/tasks/day2-mushrooms-JPN.pdf
11,IOI20_stations,2020,IOI,Day2-3,Stations,Interactive,,https://www.ioi-jp.org/ioi/2020/tasks/day2-stations-JPN.pdf
,IOI21_candies,2021,IOI,Day1-1,Distributing Candies,Batch,,https://www.ioi-jp.org/ioi/2021/tasks/day1-candies-JPN.pdf
,IOI21_keys,2021,IOI,Day1-2,Keys,Batch,,https://www.ioi-jp.org/ioi/2021/tasks/day1-keys-JPN.pdf
,IOI21_parks,2021,IOI,Day1-3,Fountain Parks,Batch,,https://www.ioi-jp.org/ioi/2021/tasks/day1-parks-JPN.pdf
,IOI21_dna,2021,IOI,Day2-1,Mutating DNA ,Batch,,https://www.ioi-jp.org/ioi/2021/tasks/day2-dna-JPN.pdf
,IOI21_dungeons,2021,IOI,Day2-2,Dungeons Game ,Batch,,https://www.ioi-jp.org/ioi/2021/tasks/day2-dungeons-JPN.pdf
,IOI21_registers,2021,IOI,Day2-3,Bit Shift Registers ,Batch,,https://www.ioi-jp.org/ioi/2021/tasks/day2-registers-JPN.pdf
